id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
matic-network,0.258455,462017732,0.7014,0.259514,0.248782,2.92,0.00314376,06-03-2025 17-03-26
compound-governance-token,51.77,459264292,0.76317,52.85,50.11,910.54,25.74,06-03-2025 17-03-26
clbtc,91753.0,458767650,3.94761,93918.0,87956.0,104078.0,77768.0,06-03-2025 17-03-26
bridged-usdc-polygon-pos-bridge,0.999881,441500306,-0.00083,0.999984,0.999743,1.028,0.975633,06-03-2025 17-03-26
based-brett,0.04458778,441035328,7.74137,0.04511981,0.04068542,0.234204,0.00084753,06-03-2025 17-03-26
thorchain,1.25,440219788,3.72641,1.29,1.19,20.87,0.00851264,06-03-2025 17-03-26
apenft,4.35309e-07,430990576,0.07656,4.40131e-07,4.30381e-07,7.53e-06,2.98737e-07,06-03-2025 17-03-26
trust-wallet-token,1.034,430710763,-1.34741,1.062,1.026,2.72,0.00277641,06-03-2025 17-03-26
pendle,2.58,427880674,1.58472,2.64,2.42,7.5,0.03377729,06-03-2025 17-03-26
ousg,110.2,419475899,0.01105,110.2,110.19,110.2,95.09,06-03-2025 17-03-26
cgeth-hashkey-cloud,2353.04,419383047,1.3009,2357.92,2215.32,3129.19,2066.24,06-03-2025 17-03-26
pudgy-penguins,0.00664401,417291027,0.47791,0.0066689,0.00639606,0.068447,0.00633437,06-03-2025 17-03-26
axelar,0.445994,413964041,13.35742,0.449438,0.381462,2.64,0.312911,06-03-2025 17-03-26
kaito,1.71,413685829,-5.10802,1.89,1.69,2.88,0.906031,06-03-2025 17-03-26
hashnote-usyc,1.08,405342700,0.3853,1.087,1.07,1.12,1.026,06-03-2025 17-03-26
morpho,1.71,404162602,-3.5103,1.78,1.69,4.17,0.713151,06-03-2025 17-03-26
usdb,0.995595,403792724,0.87798,1.018,0.978266,1.088,0.88965,06-03-2025 17-03-26
aioz-network,0.34965,400875810,2.20905,0.355641,0.330487,2.65,0.01099588,06-03-2025 17-03-26
tbtc,91132.0,390109009,1.6923,92388.0,87451.0,108501.0,10104.3,06-03-2025 17-03-26
amp-token,0.00456658,384657258,-0.56153,0.00464891,0.00446379,0.120813,0.00140933,06-03-2025 17-03-26
reserve-rights-token,0.00689588,384340982,3.36685,0.00701729,0.00647384,0.117424,0.00121354,06-03-2025 17-03-26
ondo-us-dollar-yield,1.083,383172692,-0.00968,1.096,1.08,1.26,0.934184,06-03-2025 17-03-26
beam-2,0.00719513,378103938,2.00949,0.0072633,0.00673282,0.04416304,0.0043383,06-03-2025 17-03-26
olympus,23.01,376564266,0.92878,23.3,22.66,1415.26,7.54,06-03-2025 17-03-26
gnosis,145.28,376243784,2.14783,145.88,139.58,644.2,6.88,06-03-2025 17-03-26
stakewise-v3-oseth,2386.95,370200634,4.74225,2403.47,2258.09,4228.59,2141.29,06-03-2025 17-03-26
mina-protocol,0.303505,369692465,3.36041,0.305614,0.287385,9.09,0.266349,06-03-2025 17-03-26
meow,0.00406611,365831890,2.00633,0.00424948,0.00278195,0.01085385,3.4e-06,06-03-2025 17-03-26
stakestone-berachain-vault-token,2268.52,365520505,2.96552,2286.96,2141.96,3453.2,1997.99,06-03-2025 17-03-26
terra-luna,6.637e-05,362726119,2.3754,6.685e-05,6.364e-05,119.18,9.99967e-07,06-03-2025 17-03-26
eigenlayer,1.48,361645266,1.17753,1.51,1.42,5.65,1.28,06-03-2025 17-03-26
akash-network,1.46,360348283,2.28353,1.46,1.37,8.07,0.164994,06-03-2025 17-03-26
verus-coin,4.55,357064073,3.58944,4.59,4.19,6.74,0.00177843,06-03-2025 17-03-26
fartcoin,0.357294,356317227,27.28538,0.356319,0.249415,2.48,0.02002855,06-03-2025 17-03-26
coinbase-wrapped-staked-eth,2509.81,346291389,3.45078,2527.59,2362.97,4434.57,1036.96,06-03-2025 17-03-26
ket,0.335585,335588862,2.46353,0.413021,0.297591,0.530549,0.0085598,06-03-2025 17-03-26
polygon-pos-bridged-weth-polygon-pos,2299.68,332448081,3.52329,2316.28,2166.34,4090.99,2020.91,06-03-2025 17-03-26
1inch,0.238635,328591160,1.8636,0.240547,0.228114,8.65,0.213539,06-03-2025 17-03-26
zksync,0.088509,325195603,4.57745,0.089444,0.082997,0.320983,0.076535,06-03-2025 17-03-26
ai16z,0.294529,324828828,-3.15477,0.310744,0.275525,2.47,0.010189,06-03-2025 17-03-26
binance-peg-busd,1.002,324131198,0.10988,1.005,0.996694,1.064,0.954278,06-03-2025 17-03-26
havven,0.949644,322499397,1.75078,0.956704,0.923941,28.53,0.0347864,06-03-2025 17-03-26
just,0.03245224,321500581,-0.3668,0.032952,0.03224585,0.193254,0.00476275,06-03-2025 17-03-26
wormhole,0.110868,320556089,0.21441,0.112492,0.107554,1.66,0.101855,06-03-2025 17-03-26
snek,0.00426414,317547493,-7.10178,0.00461873,0.00411528,0.00895508,0.00013847,06-03-2025 17-03-26
stader-ethx,2425.58,316293537,3.13581,2441.76,2288.79,4275.3,1537.24,06-03-2025 17-03-26
chex-token,0.313245,312906991,4.55966,0.333698,0.280268,0.804342,0.0005008,06-03-2025 17-03-26
golem,0.310777,310763123,-2.03038,0.320266,0.308203,1.32,0.00913753,06-03-2025 17-03-26
deep,0.124893,310689119,-1.66839,0.131105,0.121206,0.341085,0.01073218,06-03-2025 17-03-26
creditcoin-2,0.717213,308046538,4.71018,0.727886,0.676972,8.67,0.128298,06-03-2025 17-03-26
mantle-bridged-usdt-mantle,1.0,305957545,0.03514,1.008,0.992744,1.26,0.869914,06-03-2025 17-03-26
dash,25.1,305459185,2.66936,25.35,23.9,1493.59,0.213899,06-03-2025 17-03-26
ai-companions,0.305158,305203668,-3.45912,0.330143,0.293518,0.544605,0.03751432,06-03-2025 17-03-26
kusama,18.71,303175656,3.0106,18.86,17.82,621.71,0.876572,06-03-2025 17-03-26
frax-ether,2290.14,303134495,2.36951,2295.1,2168.25,4084.25,1137.25,06-03-2025 17-03-26
super-oeth,2301.14,302333224,3.56669,2316.27,2167.61,4099.87,2016.7,06-03-2025 17-03-26
sweth,2488.18,301874057,3.70453,2507.71,2336.83,4395.57,1535.26,06-03-2025 17-03-26
safepal,0.603139,301560922,0.22561,0.611109,0.590542,4.19,0.269235,06-03-2025 17-03-26
plume,0.150588,301205624,3.10006,0.154995,0.140099,0.210754,0.084391,06-03-2025 17-03-26
theta-fuel,0.04346891,298301742,4.56884,0.04435717,0.04096685,0.68159,0.00090804,06-03-2025 17-03-26
compound-wrapped-btc,1835.38,298177266,1.9872,1862.74,1761.33,2187.46,91.15,06-03-2025 17-03-26
mx-token,3.1,294088609,1.15399,3.15,3.01,5.85,0.04218457,06-03-2025 17-03-26
polygon-bridged-wbtc-polygon-pos,91248.0,293726240,2.06701,92453.0,87605.0,108124.0,49937.0,06-03-2025 17-03-26
elixir-deusd,0.999844,290391352,-0.02677,1.001,0.999635,1.04,0.978154,06-03-2025 17-03-26
ether-fi-staked-btc,91158.0,288394810,3.50355,92817.0,87229.0,109069.0,58795.0,06-03-2025 17-03-26
nervos-network,0.0061303,282703935,0.32091,0.00620905,0.00600995,0.04370633,0.00197892,06-03-2025 17-03-26
superfarm,0.625449,282402607,3.97866,0.627272,0.579011,4.74,0.070397,06-03-2025 17-03-26
echelon-prime,4.83,271781885,10.86294,4.86,4.3,28.0,1.19,06-03-2025 17-03-26
blur,0.121504,271346556,1.82227,0.12295,0.116757,5.02,0.109287,06-03-2025 17-03-26
notcoin,0.00264631,271152765,2.85014,0.00273449,0.00254042,0.02836145,0.00232381,06-03-2025 17-03-26
safe,0.485373,268771813,1.54478,0.489085,0.471872,3.56,0.43812,06-03-2025 17-03-26
astar,0.03471574,264229109,0.91341,0.03525987,0.03365294,0.421574,0.03203188,06-03-2025 17-03-26
sats-ordinals,1.24435e-07,261332738,0.43319,1.25294e-07,1.23105e-07,9.22983e-07,3.189e-09,06-03-2025 17-03-26
infrared-bera,6.21,260872331,1.89273,6.52,5.67,7.98,5.46,06-03-2025 17-03-26
zilliqa,0.01319757,258856120,2.05094,0.01335743,0.01260744,0.255376,0.00239616,06-03-2025 17-03-26
layerzero,2.29,254327394,1.53589,2.32,2.18,7.47,2.07,06-03-2025 17-03-26
instadapp,6.44,254131960,4.89768,6.48,6.03,24.4,0.366538,06-03-2025 17-03-26
qtum,2.39,252245468,1.65703,2.42,2.3,100.22,0.783142,06-03-2025 17-03-26
oasis-network,0.03739724,251650709,2.50237,0.037641,0.03524009,0.597347,0.03200566,06-03-2025 17-03-26
liquid-staked-ethereum,2463.72,251272363,3.35438,2477.02,2324.4,4332.67,1384.61,06-03-2025 17-03-26
chia,17.38,249347061,5.71347,17.69,15.85,1645.12,9.28,06-03-2025 17-03-26
livepeer,6.37,246058203,2.21105,6.43,6.09,99.03,0.354051,06-03-2025 17-03-26
dydx,0.677028,245783365,4.36051,0.678317,0.626856,27.86,0.573831,06-03-2025 17-03-26
basic-attention-token,0.164223,245606865,1.71959,0.165384,0.155898,1.9,0.072394,06-03-2025 17-03-26
quorium,2890.31,242761807,2.17286,2940.02,2784.82,3572.74,1170.65,06-03-2025 17-03-26
0x,0.285394,242414576,1.83974,0.290425,0.273661,2.5,0.120667,06-03-2025 17-03-26
aethir,0.03598389,241102017,-0.90375,0.03686233,0.03553852,0.118536,0.03068444,06-03-2025 17-03-26
vethor-token,0.00276866,240609669,2.04714,0.00281749,0.0026426,0.04671227,0.00015238,06-03-2025 17-03-26
holotoken,0.00133503,237186948,4.13394,0.00134622,0.00123781,0.03126682,0.0002202,06-03-2025 17-03-26
popcat,0.242137,237003492,6.224,0.242269,0.212347,2.05,0.00379728,06-03-2025 17-03-26
ordinals,10.86,228204818,0.88688,10.94,10.34,95.52,2.86,06-03-2025 17-03-26
